date;EUR;GBP;KWD;USD
04.07.2024;3,4374;4,0536;10,4664;3,209
05.07.2024;3,4674;4,0966;10,4855;3,2117
06.07.2024;3,4674;4,0966;10,4855;3,2117
07.07.2024;3,4674;4,0966;10,4855;3,2117
08.07.2024;3,4811;4,1119;10,5047;3,2155
09.07.2024;3,4797;4,1176;10,4964;3,2119
10.07.2024;3,4692;4,1064;10,4775;3,2061
11.07.2024;3,466;4,1033;10,4695;3,2047
12.07.2024;3,4798;4,1307;10,4827;3,2077
13.07.2024;3,4798;4,1307;10,4827;3,2077
14.07.2024;3,4798;4,1307;10,4827;3,2077
15.07.2024;3,4819;4,1421;10,4581;3,1981
